겐츠베이커리 신세계백화점대구점,4.5,대구 동구 동부로 149 신세계백화점대구점 지하1층
카페얀,NaN,대구 달서구 달서대로109안길 16
마이커피컬로맨스,4.54,대구 중구 동성로4길 93
레이지웨이브,NaN,대구 중구 국채보상로140길 19
바우트,NaN,대구 동구 동부로26길 18
네쥬,4.65,대구 남구 중앙대로30길 37
룩앳더바리스타 대구수성못점,NaN,대구 수성구 수성못2길 21 1층
스타벅스 대구중앙로역점,4.58,대구 중구 국채보상로 582
소문난팥빙수단팥죽,4.44,대구 중구 큰장로26안길 11
핸즈커피 호산점,4.52,대구 달서구 호산동로 148
스타벅스 대구칠곡대로DT점,4.61,대구 북구 칠곡중앙대로 348-1
김진수로스터리카페,4.48,대구 중구 이천로 205
에프에프커피,4.65,대구 중구 공평로10길 30-18 5층건물 ffcoffee
도케비커피 세천웍스점,NaN,대구 달성군 다사읍 세천북로14길 8 도케비커피 세천웍스점
여름다방,NaN,대구 중구 국채보상로 738 2층
두낫디스터브 라운지 죽전점,NaN,대구 달서구 달구벌대로 1551 골든타워 12층
로드커피,4.43,대구 중구 달구벌대로 2125-3 1층 로드커피
코타커피 월성점,NaN,대구 달서구 상원로 179-12 1층 코타커피
굿데이마마,4.63,대구 중구 달구벌대로401길 1 굿데이마마
우리밀 제빵소 레헴,4.78,대구 달성군 다사읍 대실역북로2길 137 1층 우리밀 제빵소 레헴
커피팀버 월성점,4.59,대구 달서구 조암남로20길 41 커피팀버 월성점
딥딥딥 수성,NaN,대구 수성구 수성로77길 15 1층
롤링핀 대구수성못점,4.44,대구 수성구 용학로 115
커피매거진,4.56,대구 중구 동성로4길 85 1층 커피매거진
카르멜,4.45,대구 달성군 다사읍 달구벌대로 616
꼬모맨션 본점,NaN,대구 달서구 조암로 71 1층 꼬모맨션
랑잠,NaN,대구 수성구 수성로15길 12-1 1층
오마모리 수성,NaN,대구 수성구 들안로 27 1층
시지본,4.45,대구 수성구 노변로 79
아침을기다리는빵,4.44,대구 북구 동천로24길 17
스타벅스 동대구터미널점,4.53,대구 동구 동부로30길 12
카페앤스터프 율하본점,NaN,대구 동구 율하동로10길 3-2 라운지1490빌딩 1층
별꽃자리,NaN,대구 북구 동변로24길 64
포브,NaN,"대구 수성구 달구벌대로495길 92 1층, 2층, 3층"
카페 올브,4.73,대구 수성구 상화로 49 1층
큐케이,NaN,대구 남구 중앙대로49길 54
티미드,NaN,대구 중구 국채보상로150길 76-6 1층
다이브인커피,NaN,대구 달성군 다사읍 강정본길 81 다이브인커피
고려베이커리,NaN,대구 남구 자유6길 45-2
데일리오아시스 대구본점,4.64,대구 중구 국채보상로142길 20-8 데일리오아시스
페코,NaN,대구 남구 현충로15길 21-59 1층
스타벅스 신세계대구8FR점,4.55,대구 동구 신천동 329-3
명덕빵앗간 더현대 대구,NaN,대구 중구 달구벌대로 2077 더현대대구 B1층
스타벅스 대구시지점,4.58,대구 수성구 달구벌대로 3216
쉼소,NaN,대구 군위군 산성면 만석길 15-7
브라운브릭스,4.53,대구 중구 동성로3길 21 1층 브라운브릭스
어노잉,NaN,대구 중구 경상감영길 226
이씨에그타르트,4.74,대구 중구 달구벌대로 2109-35 1층
스스슥,NaN,대구 수성구 신매로 34-1 1층(신매동)
